 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
    272  5.43E-16  6.44E-16  9.20E-16  1.32E-15  1.76E-15  2.48E-15  3.07E-15  3.79E-15  4.53E-15  4.93E-15  5.13E-15  5.78E-15  6.45E-15  7.15E-15  7.86E-15  6.22E-15  9.28E-15
    273  5.42E-16  6.43E-16  9.18E-16  1.32E-15  1.76E-15  2.48E-15  3.07E-15  3.79E-15  4.53E-15  4.93E-15  5.13E-15  5.78E-15  6.45E-15  7.15E-15  7.86E-15  6.21E-15  9.29E-15
    274  5.42E-16  6.42E-16  9.17E-16  1.32E-15  1.75E-15  2.48E-15  3.07E-15  3.79E-15  4.53E-15  4.93E-15  5.13E-15  5.78E-15  6.46E-15  7.15E-15  7.87E-15  6.21E-15  9.29E-15
    275  5.41E-16  6.41E-16  9.16E-16  1.31E-15  1.75E-15  2.47E-15  3.07E-15  3.79E-15  4.53E-15  4.93E-15  5.13E-15  5.78E-15  6.46E-15  7.15E-15  7.87E-15  6.20E-15  9.30E-15
    276  5.41E-16  6.40E-16  9.14E-16  1.31E-15  1.75E-15  2.47E-15  3.07E-15  3.78E-15  4.52E-15  4.93E-15  5.13E-15  5.78E-15  6.46E-15  7.16E-15  7.88E-15  6.20E-15  9.30E-15
    277  5.40E-16  6.40E-16  9.13E-16  1.31E-15  1.75E-15  2.47E-15  3.06E-15  3.78E-15  4.52E-15  4.93E-15  5.13E-15  5.78E-15  6.46E-15  7.16E-15  7.88E-15  6.19E-15  9.31E-15
    278  5.39E-16  6.39E-16  9.12E-16  1.31E-15  1.75E-15  2.47E-15  3.06E-15  3.78E-15  4.52E-15  4.92E-15  5.13E-15  5.79E-15  6.46E-15  7.16E-15  7.89E-15  6.19E-15  9.31E-15
    279  5.39E-16  6.38E-16  9.10E-16  1.30E-15  1.74E-15  2.46E-15  3.06E-15  3.78E-15  4.52E-15  4.92E-15  5.14E-15  5.79E-15  6.47E-15  7.16E-15  7.89E-15  6.18E-15  9.32E-15
    280  5.38E-16  6.37E-16  9.09E-16  1.30E-15  1.74E-15  2.46E-15  3.06E-15  3.78E-15  4.51E-15  4.92E-15  5.14E-15  5.79E-15  6.47E-15  7.17E-15  7.90E-15  6.18E-15  9.32E-15
    281  5.38E-16  6.36E-16  9.08E-16  1.30E-15  1.74E-15  2.46E-15  3.05E-15  3.77E-15  4.51E-15  4.92E-15  5.14E-15  5.79E-15  6.47E-15  7.17E-15  7.90E-15  6.17E-15  9.33E-15
    282  5.37E-16  6.35E-16  9.06E-16  1.30E-15  1.74E-15  2.46E-15  3.05E-15  3.77E-15  4.51E-15  4.92E-15  5.14E-15  5.79E-15  6.47E-15  7.17E-15  7.91E-15  6.17E-15  9.33E-15
    283  5.37E-16  6.35E-16  9.05E-16  1.30E-15  1.74E-15  2.45E-15  3.05E-15  3.77E-15  4.51E-15  4.92E-15  5.14E-15  5.79E-15  6.47E-15  7.18E-15  7.91E-15  6.16E-15  9.34E-15
    284  5.36E-16  6.34E-16  9.04E-16  1.29E-15  1.73E-15  2.45E-15  3.05E-15  3.77E-15  4.51E-15  4.92E-15  5.14E-15  5.80E-15  6.48E-15  7.18E-15  7.92E-15  6.16E-15  9.34E-15
    285  5.35E-16  6.33E-16  9.02E-16  1.29E-15  1.73E-15  2.45E-15  3.05E-15  3.77E-15  4.51E-15  4.92E-15  5.14E-15  5.80E-15  6.48E-15  7.18E-15  7.92E-15  6.15E-15  9.35E-15
    286  5.35E-16  6.32E-16  9.01E-16  1.29E-15  1.73E-15  2.45E-15  3.04E-15  3.76E-15  4.50E-15  4.92E-15  5.14E-15  5.80E-15  6.48E-15  7.19E-15  7.93E-15  6.15E-15  9.36E-15
    287  5.34E-16  6.32E-16  9.00E-16  1.29E-15  1.73E-15  2.44E-15  3.04E-15  3.76E-15  4.50E-15  4.92E-15  5.15E-15  5.80E-15  6.49E-15  7.19E-15  7.93E-15  6.14E-15  9.36E-15
    288  5.34E-16  6.31E-16  8.98E-16  1.29E-15  1.73E-15  2.44E-15  3.04E-15  3.76E-15  4.50E-15  4.92E-15  5.15E-15  5.80E-15  6.49E-15  7.19E-15  7.94E-15  6.14E-15  9.37E-15
    289  5.33E-16  6.30E-16  8.97E-16  1.28E-15  1.72E-15  2.44E-15  3.04E-15  3.76E-15  4.50E-15  4.92E-15  5.15E-15  5.81E-15  6.49E-15  7.20E-15  7.94E-15  6.13E-15  9.37E-15
    290  5.33E-16  6.29E-16  8.96E-16  1.28E-15  1.72E-15  2.44E-15  3.04E-15  3.76E-15  4.50E-15  4.92E-15  5.15E-15  5.81E-15  6.49E-15  7.20E-15  7.95E-15  6.13E-15  9.38E-15
    291  5.32E-16  6.28E-16  8.95E-16  1.28E-15  1.72E-15  2.43E-15  3.04E-15  3.75E-15  4.49E-15  4.92E-15  5.15E-15  5.81E-15  6.50E-15  7.20E-15  7.95E-15  6.12E-15  9.39E-15
    292  5.31E-16  6.28E-16  8.93E-16  1.28E-15  1.72E-15  2.43E-15  3.03E-15  3.75E-15  4.49E-15  4.92E-15  5.15E-15  5.81E-15  6.50E-15  7.21E-15  7.96E-15  6.12E-15  9.39E-15
    293  5.31E-16  6.27E-16  8.92E-16  1.28E-15  1.72E-15  2.43E-15  3.03E-15  3.75E-15  4.49E-15  4.92E-15  5.15E-15  5.81E-15  6.50E-15  7.21E-15  7.96E-15  6.12E-15  9.40E-15
    294  5.30E-16  6.26E-16  8.91E-16  1.27E-15  1.72E-15  2.43E-15  3.03E-15  3.75E-15  4.49E-15  4.91E-15  5.16E-15  5.82E-15  6.50E-15  7.21E-15  7.97E-15  6.11E-15  9.40E-15
    295  5.30E-16  6.25E-16  8.90E-16  1.27E-15  1.71E-15  2.42E-15  3.03E-15  3.75E-15  4.49E-15  4.92E-15  5.16E-15  5.82E-15  6.51E-15  7.22E-15  7.98E-15  6.11E-15  9.41E-15
    296  5.29E-16  6.25E-16  8.88E-16  1.27E-15  1.71E-15  2.42E-15  3.03E-15  3.75E-15  4.49E-15  4.91E-15  5.16E-15  5.82E-15  6.51E-15  7.22E-15  7.98E-15  6.11E-15  9.42E-15
    297  5.29E-16  6.24E-16  8.87E-16  1.27E-15  1.71E-15  2.42E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.16E-15  5.82E-15  6.51E-15  7.23E-15  7.99E-15  6.10E-15  9.42E-15
    298  5.28E-16  6.23E-16  8.86E-16  1.27E-15  1.71E-15  2.42E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.16E-15  5.83E-15  6.52E-15  7.23E-15  7.99E-15  6.10E-15  9.43E-15
    299  5.28E-16  6.22E-16  8.85E-16  1.27E-15  1.71E-15  2.42E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.16E-15  5.83E-15  6.52E-15  7.23E-15  8.00E-15  6.10E-15  9.44E-15
    300  5.27E-16  6.22E-16  8.84E-16  1.26E-15  1.71E-15  2.41E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.16E-15  5.83E-15  6.52E-15  7.24E-15  8.00E-15  6.09E-15  9.45E-15
    301  5.27E-16  6.21E-16  8.82E-16  1.26E-15  1.70E-15  2.41E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.17E-15  5.83E-15  6.53E-15  7.24E-15  8.01E-15  6.09E-15  9.45E-15
    302  5.26E-16  6.20E-16  8.81E-16  1.26E-15  1.70E-15  2.41E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.17E-15  5.83E-15  6.53E-15  7.25E-15  8.01E-15  6.09E-15  9.46E-15
    303  5.25E-16  6.19E-16  8.80E-16  1.26E-15  1.70E-15  2.41E-15  3.02E-15  3.74E-15  4.48E-15  4.91E-15  5.17E-15  5.84E-15  6.53E-15  7.25E-15  8.02E-15  6.08E-15  9.47E-15
    304  5.25E-16  6.19E-16  8.79E-16  1.26E-15  1.70E-15  2.41E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.17E-15  5.84E-15  6.54E-15  7.25E-15  8.03E-15  6.08E-15  9.47E-15
    305  5.24E-16  6.18E-16  8.78E-16  1.26E-15  1.70E-15  2.40E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.17E-15  5.84E-15  6.54E-15  7.26E-15  8.03E-15  6.08E-15  9.48E-15
    306  5.24E-16  6.17E-16  8.77E-16  1.25E-15  1.70E-15  2.40E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.18E-15  5.85E-15  6.54E-15  7.26E-15  8.04E-15  6.08E-15  9.49E-15
    307  5.23E-16  6.17E-16  8.75E-16  1.25E-15  1.69E-15  2.40E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.18E-15  5.85E-15  6.55E-15  7.27E-15  8.05E-15  6.07E-15  9.49E-15
    308  5.23E-16  6.16E-16  8.74E-16  1.25E-15  1.69E-15  2.40E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.18E-15  5.85E-15  6.55E-15  7.27E-15  8.05E-15  6.07E-15  9.50E-15
    309  5.22E-16  6.15E-16  8.73E-16  1.25E-15  1.69E-15  2.40E-15  3.01E-15  3.73E-15  4.47E-15  4.91E-15  5.18E-15  5.85E-15  6.55E-15  7.27E-15  8.06E-15  6.07E-15  9.51E-15
    310  5.22E-16  6.15E-16  8.72E-16  1.25E-15  1.69E-15  2.39E-15  3.00E-15  3.72E-15  4.47E-15  4.91E-15  5.18E-15  5.86E-15  6.56E-15  7.28E-15  8.06E-15  6.07E-15  9.52E-15
    311  5.21E-16  6.14E-16  8.71E-16  1.25E-15  1.69E-15  2.39E-15  3.00E-15  3.72E-15  4.47E-15  4.91E-15  5.19E-15  5.86E-15  6.56E-15  7.28E-15  8.07E-15  6.06E-15  9.52E-15
    312  5.21E-16  6.13E-16  8.70E-16  1.24E-15  1.69E-15  2.39E-15  3.00E-15  3.72E-15  4.46E-15  4.91E-15  5.19E-15  5.86E-15  6.56E-15  7.29E-15  8.08E-15  6.06E-15  9.53E-15
    313  5.20E-16  6.13E-16  8.69E-16  1.24E-15  1.68E-15  2.39E-15  3.00E-15  3.72E-15  4.46E-15  4.91E-15  5.19E-15  5.86E-15  6.57E-15  7.29E-15  8.08E-15  6.06E-15  9.54E-15
    314  5.20E-16  6.12E-16  8.68E-16  1.24E-15  1.68E-15  2.39E-15  3.00E-15  3.72E-15  4.46E-15  4.91E-15  5.19E-15  5.87E-15  6.57E-15  7.30E-15  8.09E-15  6.06E-15  9.55E-15
    315  5.19E-16  6.11E-16  8.67E-16  1.24E-15  1.68E-15  2.38E-15  3.00E-15  3.72E-15  4.46E-15  4.91E-15  5.19E-15  5.87E-15  6.58E-15  7.30E-15  8.10E-15  6.05E-15  9.56E-15
    316  5.19E-16  6.11E-16  8.65E-16  1.24E-15  1.68E-15  2.38E-15  3.00E-15  3.72E-15  4.46E-15  4.91E-15  5.20E-15  5.87E-15  6.58E-15  7.31E-15  8.10E-15  6.05E-15  9.56E-15
    317  5.18E-16  6.10E-16  8.64E-16  1.24E-15  1.68E-15  2.38E-15  2.99E-15  3.72E-15  4.46E-15  4.91E-15  5.20E-15  5.88E-15  6.58E-15  7.31E-15  8.11E-15  6.05E-15  9.57E-15
    318  5.18E-16  6.09E-16  8.63E-16  1.23E-15  1.68E-15  2.38E-15  2.99E-15  3.71E-15  4.46E-15  4.91E-15  5.20E-15  5.88E-15  6.59E-15  7.32E-15  8.11E-15  6.05E-15  9.58E-15
    319  5.17E-16  6.09E-16  8.62E-16  1.23E-15  1.67E-15  2.38E-15  2.99E-15  3.71E-15  4.46E-15  4.91E-15  5.20E-15  5.88E-15  6.59E-15  7.32E-15  8.12E-15  6.05E-15  9.59E-15
    320  5.17E-16  6.08E-16  8.61E-16  1.23E-15  1.67E-15  2.37E-15  2.99E-15  3.71E-15  4.46E-15  4.92E-15  5.20E-15  5.88E-15  6.59E-15  7.33E-15  8.13E-15  6.05E-15  9.59E-15
    321  5.16E-16  6.07E-16  8.60E-16  1.23E-15  1.67E-15  2.37E-15  2.99E-15  3.71E-15  4.45E-15  4.92E-15  5.21E-15  5.89E-15  6.60E-15  7.33E-15  8.13E-15  6.04E-15  9.60E-15
    322  5.16E-16  6.07E-16  8.59E-16  1.23E-15  1.67E-15  2.37E-15  2.99E-15  3.71E-15  4.45E-15  4.92E-15  5.21E-15  5.89E-15  6.60E-15  7.34E-15  8.14E-15  6.04E-15  9.61E-15
    323  5.16E-16  6.06E-16  8.58E-16  1.23E-15  1.67E-15  2.37E-15  2.99E-15  3.71E-15  4.45E-15  4.92E-15  5.21E-15  5.89E-15  6.61E-15  7.34E-15  8.15E-15  6.04E-15  9.62E-15
    324  5.15E-16  6.05E-16  8.57E-16  1.22E-15  1.67E-15  2.37E-15  2.99E-15  3.71E-15  4.45E-15  4.92E-15  5.21E-15  5.90E-15  6.61E-15  7.34E-15  8.15E-15  6.04E-15  9.63E-15
    325  5.15E-16  6.05E-16  8.56E-16  1.22E-15  1.67E-15  2.36E-15  2.98E-15  3.71E-15  4.45E-15  4.92E-15  5.22E-15  5.90E-15  6.61E-15  7.35E-15  8.16E-15  6.04E-15  9.63E-15
    326  5.14E-16  6.04E-16  8.55E-16  1.22E-15  1.66E-15  2.36E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.22E-15  5.90E-15  6.62E-15  7.35E-15  8.17E-15  6.04E-15  9.64E-15
    327  5.14E-16  6.03E-16  8.54E-16  1.22E-15  1.66E-15  2.36E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.22E-15  5.90E-15  6.62E-15  7.36E-15  8.17E-15  6.03E-15  9.65E-15
    328  5.13E-16  6.03E-16  8.53E-16  1.22E-15  1.66E-15  2.36E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.22E-15  5.91E-15  6.63E-15  7.36E-15  8.18E-15  6.03E-15  9.66E-15
    329  5.13E-16  6.02E-16  8.52E-16  1.22E-15  1.66E-15  2.36E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.22E-15  5.91E-15  6.63E-15  7.37E-15  8.18E-15  6.03E-15  9.67E-15
    330  5.12E-16  6.02E-16  8.51E-16  1.22E-15  1.66E-15  2.36E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.23E-15  5.91E-15  6.63E-15  7.37E-15  8.19E-15  6.03E-15  9.67E-15
    331  5.12E-16  6.01E-16  8.50E-16  1.21E-15  1.66E-15  2.35E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.23E-15  5.92E-15  6.64E-15  7.38E-15  8.20E-15  6.03E-15  9.68E-15
    332  5.11E-16  6.00E-16  8.49E-16  1.21E-15  1.66E-15  2.35E-15  2.98E-15  3.70E-15  4.45E-15  4.92E-15  5.23E-15  5.92E-15  6.64E-15  7.38E-15  8.20E-15  6.03E-15  9.69E-15
    333  5.11E-16  6.00E-16  8.48E-16  1.21E-15  1.66E-15  2.35E-15  2.98E-15  3.70E-15  4.44E-15  4.92E-15  5.23E-15  5.92E-15  6.64E-15  7.39E-15  8.21E-15  6.03E-15  9.70E-15
    334  5.10E-16  5.99E-16  8.47E-16  1.21E-15  1.65E-15  2.35E-15  2.97E-15  3.70E-15  4.44E-15  4.92E-15  5.24E-15  5.93E-15  6.65E-15  7.39E-15  8.22E-15  6.03E-15  9.71E-15
    335  5.10E-16  5.98E-16  8.46E-16  1.21E-15  1.65E-15  2.35E-15  2.97E-15  3.70E-15  4.44E-15  4.92E-15  5.24E-15  5.93E-15  6.65E-15  7.40E-15  8.22E-15  6.03E-15  9.72E-15
    336  5.09E-16  5.98E-16  8.45E-16  1.21E-15  1.65E-15  2.35E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.24E-15  5.93E-15  6.66E-15  7.40E-15  8.23E-15  6.02E-15  9.73E-15
    337  5.09E-16  5.97E-16  8.44E-16  1.21E-15  1.65E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.24E-15  5.94E-15  6.66E-15  7.41E-15  8.24E-15  6.02E-15  9.73E-15
    338  5.09E-16  5.97E-16  8.43E-16  1.20E-15  1.65E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.24E-15  5.94E-15  6.67E-15  7.41E-15  8.24E-15  6.02E-15  9.74E-15
    339  5.08E-16  5.96E-16  8.42E-16  1.20E-15  1.65E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.25E-15  5.94E-15  6.67E-15  7.42E-15  8.25E-15  6.02E-15  9.75E-15
    340  5.08E-16  5.96E-16  8.41E-16  1.20E-15  1.65E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.25E-15  5.94E-15  6.67E-15  7.42E-15  8.26E-15  6.02E-15  9.76E-15
    341  5.07E-16  5.95E-16  8.40E-16  1.20E-15  1.64E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.25E-15  5.95E-15  6.68E-15  7.43E-15  8.26E-15  6.02E-15  9.77E-15
    342  5.07E-16  5.94E-16  8.39E-16  1.20E-15  1.64E-15  2.34E-15  2.97E-15  3.69E-15  4.44E-15  4.92E-15  5.26E-15  5.95E-15  6.68E-15  7.43E-15  8.27E-15  6.02E-15  9.78E-15
    343  5.06E-16  5.94E-16  8.38E-16  1.20E-15  1.64E-15  2.33E-15  2.96E-15  3.69E-15  4.44E-15  4.93E-15  5.26E-15  5.96E-15  6.69E-15  7.44E-15  8.28E-15  6.02E-15  9.79E-15
    344  5.06E-16  5.93E-16  8.37E-16  1.20E-15  1.64E-15  2.33E-15  2.96E-15  3.69E-15  4.44E-15  4.93E-15  5.26E-15  5.96E-15  6.69E-15  7.45E-15  8.28E-15  6.02E-15  9.79E-15
    345  5.05E-16  5.93E-16  8.36E-16  1.19E-15  1.64E-15  2.33E-15  2.96E-15  3.69E-15  4.44E-15  4.93E-15  5.26E-15  5.96E-15  6.69E-15  7.45E-15  8.29E-15  6.02E-15  9.80E-15
    346  5.05E-16  5.92E-16  8.35E-16  1.19E-15  1.64E-15  2.33E-15  2.96E-15  3.68E-15  4.44E-15  4.93E-15  5.26E-15  5.96E-15  6.70E-15  7.45E-15  8.30E-15  6.02E-15  9.81E-15
    347  5.05E-16  5.91E-16  8.34E-16  1.19E-15  1.64E-15  2.33E-15  2.96E-15  3.68E-15  4.44E-15  4.93E-15  5.27E-15  5.97E-15  6.70E-15  7.46E-15  8.30E-15  6.02E-15  9.82E-15
    348  5.04E-16  5.91E-16  8.33E-16  1.19E-15  1.64E-15  2.33E-15  2.96E-15  3.68E-15  4.43E-15  4.93E-15  5.27E-15  5.97E-15  6.71E-15  7.47E-15  8.31E-15  6.02E-15  9.83E-15
    349  5.04E-16  5.90E-16  8.33E-16  1.19E-15  1.63E-15  2.33E-15  2.96E-15  3.68E-15  4.43E-15  4.93E-15  5.27E-15  5.98E-15  6.71E-15  7.47E-15  8.32E-15  6.01E-15  9.84E-15
    350  5.03E-16  5.90E-16  8.32E-16  1.19E-15  1.63E-15  2.32E-15  2.96E-15  3.68E-15  4.43E-15  4.93E-15  5.27E-15  5.98E-15  6.72E-15  7.47E-15  8.32E-15  6.01E-15  9.85E-15
    351  5.03E-16  5.89E-16  8.31E-16  1.19E-15  1.63E-15  2.32E-15  2.96E-15  3.68E-15  4.43E-15  4.93E-15  5.28E-15  5.98E-15  6.72E-15  7.48E-15  8.33E-15  6.01E-15  9.86E-15
    352  5.02E-16  5.89E-16  8.30E-16  1.19E-15  1.63E-15  2.32E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.28E-15  5.98E-15  6.73E-15  7.49E-15  8.34E-15  6.01E-15  9.86E-15
    353  5.02E-16  5.88E-16  8.29E-16  1.18E-15  1.63E-15  2.32E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.28E-15  5.99E-15  6.73E-15  7.49E-15  8.34E-15  6.01E-15  9.87E-15
    354  5.02E-16  5.88E-16  8.28E-16  1.18E-15  1.63E-15  2.32E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.28E-15  5.99E-15  6.73E-15  7.50E-15  8.35E-15  6.01E-15  9.88E-15
    355  5.01E-16  5.87E-16  8.27E-16  1.18E-15  1.63E-15  2.32E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.29E-15  5.99E-15  6.74E-15  7.50E-15  8.36E-15  6.01E-15  9.89E-15
    356  5.01E-16  5.87E-16  8.26E-16  1.18E-15  1.63E-15  2.31E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.29E-15  6.00E-15  6.74E-15  7.51E-15  8.36E-15  6.01E-15  9.90E-15
    357  5.00E-16  5.86E-16  8.25E-16  1.18E-15  1.62E-15  2.31E-15  2.95E-15  3.68E-15  4.43E-15  4.93E-15  5.29E-15  6.00E-15  6.75E-15  7.51E-15  8.37E-15  6.01E-15  9.91E-15
    358  5.00E-16  5.85E-16  8.24E-16  1.18E-15  1.62E-15  2.31E-15  2.95E-15  3.67E-15  4.43E-15  4.94E-15  5.30E-15  6.00E-15  6.75E-15  7.52E-15  8.38E-15  6.01E-15  9.92E-15
    359  5.00E-16  5.85E-16  8.24E-16  1.18E-15  1.62E-15  2.31E-15  2.95E-15  3.67E-15  4.43E-15  4.94E-15  5.30E-15  6.01E-15  6.76E-15  7.52E-15  8.38E-15  6.01E-15  9.93E-15
    360  4.99E-16  5.84E-16  8.23E-16  1.18E-15  1.62E-15  2.31E-15  2.95E-15  3.67E-15  4.43E-15  4.94E-15  5.30E-15  6.01E-15  6.76E-15  7.53E-15  8.39E-15  6.01E-15  9.94E-15
    361  4.99E-16  5.84E-16  8.22E-16  1.17E-15  1.62E-15  2.31E-15  2.95E-15  3.67E-15  4.43E-15  4.94E-15  5.30E-15  6.01E-15  6.76E-15  7.53E-15  8.40E-15  6.01E-15  9.95E-15
    362  4.98E-16  5.83E-16  8.21E-16  1.17E-15  1.62E-15  2.31E-15  2.94E-15  3.67E-15  4.43E-15  4.94E-15  5.31E-15  6.02E-15  6.77E-15  7.54E-15  8.41E-15  6.01E-15  9.95E-15
    363  4.98E-16  5.83E-16  8.20E-16  1.17E-15  1.62E-15  2.31E-15  2.94E-15  3.67E-15  4.43E-15  4.94E-15  5.31E-15  6.02E-15  6.77E-15  7.55E-15  8.41E-15  6.01E-15  9.96E-15
    364  4.98E-16  5.82E-16  8.19E-16  1.17E-15  1.62E-15  2.30E-15  2.94E-15  3.67E-15  4.43E-15  4.94E-15  5.31E-15  6.03E-15  6.78E-15  7.55E-15  8.42E-15  6.01E-15  9.97E-15
    365  4.97E-16  5.82E-16  8.18E-16  1.17E-15  1.62E-15  2.30E-15  2.94E-15  3.67E-15  4.43E-15  4.94E-15  5.31E-15  6.03E-15  6.78E-15  7.56E-15  8.43E-15  6.01E-15  9.98E-15
    366  4.97E-16  5.81E-16  8.18E-16  1.17E-15  1.61E-15  2.30E-15  2.94E-15  3.67E-15  4.42E-15  4.94E-15  5.32E-15  6.03E-15  6.79E-15  7.56E-15  8.43E-15  6.01E-15  9.99E-15
    367  4.96E-16  5.81E-16  8.17E-16  1.17E-15  1.61E-15  2.30E-15  2.94E-15  3.67E-15  4.42E-15  4.94E-15  5.32E-15  6.04E-15  6.79E-15  7.57E-15  8.44E-15  6.01E-15  1.00E-14
    368  4.96E-16  5.80E-16  8.16E-16  1.17E-15  1.61E-15  2.30E-15  2.94E-15  3.67E-15  4.42E-15  4.94E-15  5.32E-15  6.04E-15  6.79E-15  7.57E-15  8.45E-15  6.01E-15  1.00E-14
    369  4.96E-16  5.80E-16  8.15E-16  1.16E-15  1.61E-15  2.30E-15  2.94E-15  3.67E-15  4.42E-15  4.94E-15  5.32E-15  6.04E-15  6.80E-15  7.58E-15  8.45E-15  6.01E-15  1.00E-14
    370  4.95E-16  5.79E-16  8.14E-16  1.16E-15  1.61E-15  2.30E-15  2.94E-15  3.67E-15  4.42E-15  4.94E-15  5.33E-15  6.05E-15  6.80E-15  7.58E-15  8.46E-15  6.01E-15  1.00E-14
    371  4.95E-16  5.79E-16  8.13E-16  1.16E-15  1.61E-15  2.29E-15  2.94E-15  3.67E-15  4.42E-15  4.95E-15  5.33E-15  6.05E-15  6.81E-15  7.59E-15  8.47E-15  6.01E-15  1.00E-14
    372  4.94E-16  5.78E-16  8.13E-16  1.16E-15  1.61E-15  2.29E-15  2.94E-15  3.67E-15  4.42E-15  4.95E-15  5.33E-15  6.05E-15  6.81E-15  7.59E-15  8.47E-15  6.01E-15  1.00E-14
    373  4.94E-16  5.78E-16  8.12E-16  1.16E-15  1.61E-15  2.29E-15  2.94E-15  3.66E-15  4.42E-15  4.95E-15  5.33E-15  6.06E-15  6.82E-15  7.60E-15  8.48E-15  6.01E-15  1.01E-14
    374  4.94E-16  5.77E-16  8.11E-16  1.16E-15  1.61E-15  2.29E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.34E-15  6.06E-15  6.82E-15  7.61E-15  8.49E-15  6.01E-15  1.01E-14
    375  4.93E-16  5.77E-16  8.10E-16  1.16E-15  1.61E-15  2.29E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.34E-15  6.06E-15  6.83E-15  7.61E-15  8.50E-15  6.01E-15  1.01E-14
    376  4.93E-16  5.76E-16  8.09E-16  1.16E-15  1.60E-15  2.29E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.34E-15  6.07E-15  6.83E-15  7.62E-15  8.50E-15  6.01E-15  1.01E-14
    377  4.92E-16  5.76E-16  8.08E-16  1.16E-15  1.60E-15  2.29E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.34E-15  6.07E-15  6.84E-15  7.62E-15  8.51E-15  6.02E-15  1.01E-14
    378  4.92E-16  5.75E-16  8.08E-16  1.15E-15  1.60E-15  2.29E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.35E-15  6.07E-15  6.84E-15  7.63E-15  8.52E-15  6.02E-15  1.01E-14
    379  4.92E-16  5.75E-16  8.07E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.35E-15  6.08E-15  6.85E-15  7.63E-15  8.52E-15  6.02E-15  1.01E-14
    380  4.91E-16  5.74E-16  8.06E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.35E-15  6.08E-15  6.85E-15  7.64E-15  8.53E-15  6.02E-15  1.01E-14
    381  4.91E-16  5.74E-16  8.05E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.95E-15  5.35E-15  6.08E-15  6.85E-15  7.64E-15  8.54E-15  6.02E-15  1.01E-14
    382  4.91E-16  5.73E-16  8.05E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.96E-15  5.36E-15  6.09E-15  6.86E-15  7.65E-15  8.54E-15  6.02E-15  1.01E-14
    383  4.90E-16  5.73E-16  8.04E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.96E-15  5.36E-15  6.09E-15  6.86E-15  7.65E-15  8.55E-15  6.02E-15  1.01E-14
    384  4.90E-16  5.72E-16  8.03E-16  1.15E-15  1.60E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.96E-15  5.36E-15  6.09E-15  6.87E-15  7.66E-15  8.56E-15  6.02E-15  1.02E-14
    385  4.89E-16  5.72E-16  8.02E-16  1.15E-15  1.59E-15  2.28E-15  2.93E-15  3.66E-15  4.42E-15  4.96E-15  5.37E-15  6.10E-15  6.87E-15  7.67E-15  8.56E-15  6.02E-15  1.02E-14
