   SI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
    200 0.000E+00 1.640E-17 2.480E-17 4.000E-17 6.590E-17 1.040E-16 1.590E-16 2.220E-16 2.800E-16 3.650E-16 4.350E-16 5.130E-16 6.070E-16 6.920E-16 7.710E-16 8.600E-16 9.550E-16
    500 0.000E+00 1.370E-18 2.040E-18 2.300E-18 3.120E-18 4.790E-18 7.060E-18 1.100E-17 1.480E-17 2.010E-17 2.580E-17 3.490E-17 4.070E-17 5.080E-17 5.890E-17 6.820E-17 8.380E-17
   1000 0.000E+00 1.660E-19 1.870E-19 2.150E-19 2.780E-19 3.460E-19 4.790E-19 6.690E-19 1.010E-18 1.410E-18 1.910E-18 2.660E-18 3.260E-18 3.670E-18 4.510E-18 5.260E-18 6.210E-18
   2000 0.000E+00 1.910E-20 2.100E-20 2.660E-20 2.310E-20 2.230E-20 2.800E-20 4.970E-20 7.140E-20 1.020E-19 1.500E-19 1.830E-19 2.220E-19 2.770E-19 3.210E-19 4.240E-19 4.290E-19
 DCAI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1 0.000E+00 0.000E+00 5.070E-20 1.270E-19 2.460E-19 5.160E-18 1.190E-16 1.910E-15 3.810E-15 4.250E-15 4.690E-15 5.200E-15 5.730E-15 6.310E-15 6.880E-15 7.470E-15 8.080E-15
     10 0.000E+00 0.000E+00 6.780E-19 5.040E-18 6.270E-18 2.350E-17 2.160E-16 1.770E-15 2.620E-15 3.080E-15 3.530E-15 4.010E-15 4.470E-15 4.950E-15 5.420E-15 5.890E-15 6.350E-15
     50 0.000E+00 0.000E+00 3.320E-18 4.010E-17 9.320E-17 2.320E-16 5.610E-16 1.210E-15 1.810E-15 2.150E-15 2.550E-15 2.870E-15 3.230E-15 3.580E-15 3.900E-15 4.290E-15 4.620E-15
     75 0.000E+00 0.000E+00 4.490E-18 1.930E-17 6.130E-17 1.670E-16 3.990E-16 8.050E-16 1.290E-15 1.610E-15 1.950E-15 2.280E-15 2.620E-15 2.980E-15 3.320E-15 3.670E-15 4.050E-15
    100 0.000E+00 0.000E+00 3.200E-18 5.460E-18 1.860E-17 6.340E-17 1.670E-16 4.040E-16 6.580E-16 9.500E-16 1.240E-15 1.550E-15 1.880E-15 2.180E-15 2.510E-15 2.840E-15 3.210E-15
    200 0.000E+00 0.000E+00 3.990E-20 1.580E-19 5.820E-19 2.390E-18 7.780E-18 1.840E-17 3.810E-17 6.770E-17 1.020E-16 1.260E-16 1.580E-16 2.070E-16 2.580E-16 3.160E-16 3.740E-16
