 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   H [cm^-2]   Tot [cm^-2]
  2846.00    7.173E+11    5.711E+03    2.969E-27    5.764E+12    6.481E+12
  2844.00    7.269E+11    5.821E+03    2.985E-27    5.829E+12    6.556E+12
  2842.00    7.462E+11    6.044E+03    3.015E-27    5.961E+12    6.707E+12
  2840.00    7.560E+11    6.159E+03    3.031E-27    6.027E+12    6.783E+12
  2838.00    7.758E+11    6.393E+03    3.061E-27    6.161E+12    6.937E+12
  2836.00    7.858E+11    6.514E+03    3.075E-27    6.228E+12    7.014E+12
  2834.00    8.060E+11    6.759E+03    3.105E-27    6.363E+12    7.169E+12
  2832.00    8.163E+11    6.884E+03    3.119E-27    6.431E+12    7.248E+12
  2830.00    8.370E+11    7.140E+03    3.147E-27    6.568E+12    7.405E+12
  2828.00    8.475E+11    7.272E+03    3.161E-27    6.637E+12    7.485E+12
  2826.00    8.687E+11    7.539E+03    3.189E-27    6.776E+12    7.645E+12
  2824.00    8.794E+11    7.677E+03    3.203E-27    6.846E+12    7.725E+12
  2822.00    9.011E+11    7.957E+03    3.229E-27    6.987E+12    7.888E+12
  2820.00    9.120E+11    8.100E+03    3.243E-27    7.057E+12    7.969E+12
  2818.00    9.342E+11    8.393E+03    3.269E-27    7.200E+12    8.134E+12
  2816.00    9.454E+11    8.544E+03    3.282E-27    7.271E+12    8.217E+12
  2814.00    9.681E+11    8.850E+03    3.307E-27    7.416E+12    8.384E+12
  2812.00    9.796E+11    9.008E+03    3.319E-27    7.488E+12    8.468E+12
  2810.00    1.003E+12    9.330E+03    3.344E-27    7.635E+12    8.638E+12
  2808.00    1.015E+12    9.496E+03    3.356E-27    7.709E+12    8.723E+12
  2806.00    1.038E+12    9.835E+03    3.380E-27    7.858E+12    8.896E+12
  2804.00    1.050E+12    1.001E+04    3.392E-27    7.933E+12    8.983E+12
  2802.00    1.075E+12    1.037E+04    3.415E-27    8.084E+12    9.159E+12
  2800.00    1.087E+12    1.055E+04    3.426E-27    8.160E+12    9.247E+12
  2798.00    1.112E+12    1.092E+04    3.449E-27    8.314E+12    9.426E+12
  2796.00    1.125E+12    1.112E+04    3.460E-27    8.391E+12    9.516E+12
  2794.00    1.151E+12    1.151E+04    3.482E-27    8.547E+12    9.698E+12
  2792.00    1.164E+12    1.171E+04    3.493E-27    8.626E+12    9.790E+12
  2790.00    1.190E+12    1.213E+04    3.514E-27    8.785E+12    9.975E+12
  2788.00    1.203E+12    1.234E+04    3.524E-27    8.864E+12    1.007E+13
  2786.00    1.230E+12    1.277E+04    3.545E-27    9.025E+12    1.026E+13
  2784.00    1.244E+12    1.299E+04    3.555E-27    9.106E+12    1.035E+13
  2782.00    1.272E+12    1.345E+04    3.575E-27    9.269E+12    1.054E+13
  2780.00    1.286E+12    1.368E+04    3.584E-27    9.351E+12    1.064E+13
  2778.00    1.314E+12    1.415E+04    3.604E-27    9.516E+12    1.083E+13
  2776.00    1.328E+12    1.440E+04    3.613E-27    9.599E+12    1.093E+13
  2774.00    1.357E+12    1.489E+04    3.632E-27    9.766E+12    1.112E+13
  2772.00    1.372E+12    1.515E+04    3.641E-27    9.850E+12    1.122E+13
  2770.00    1.401E+12    1.567E+04    3.659E-27    1.002E+13    1.142E+13
  2768.00    1.416E+12    1.593E+04    3.668E-27    1.010E+13    1.152E+13
  2766.00    1.446E+12    1.648E+04    3.686E-27    1.028E+13    1.172E+13
  2764.00    1.462E+12    1.676E+04    3.694E-27    1.036E+13    1.182E+13
  2762.00    1.493E+12    1.733E+04    3.711E-27    1.054E+13    1.203E+13
  2760.00    1.508E+12    1.762E+04    3.720E-27    1.062E+13    1.213E+13
  2758.00    1.540E+12    1.822E+04    3.736E-27    1.080E+13    1.234E+13
  2756.00    1.556E+12    1.853E+04    3.744E-27    1.089E+13    1.244E+13
  2754.00    1.588E+12    1.916E+04    3.760E-27    1.107E+13    1.266E+13
  2752.00    1.605E+12    1.949E+04    3.768E-27    1.116E+13    1.276E+13
  2750.00    1.638E+12    2.015E+04    3.783E-27    1.134E+13    1.298E+13
  2748.00    1.655E+12    2.049E+04    3.790E-27    1.143E+13    1.309E+13
  2746.00    1.689E+12    2.119E+04    3.805E-27    1.162E+13    1.331E+13
  2744.00    1.706E+12    2.155E+04    3.813E-27    1.171E+13    1.342E+13
  2742.00    1.741E+12    2.229E+04    3.827E-27    1.190E+13    1.364E+13
  2740.00    1.759E+12    2.267E+04    3.834E-27    1.199E+13    1.375E+13
  2738.00    1.795E+12    2.343E+04    3.848E-27    1.218E+13    1.398E+13
  2736.00    1.813E+12    2.383E+04    3.854E-27    1.228E+13    1.409E+13
  2734.00    1.849E+12    2.463E+04    3.868E-27    1.247E+13    1.432E+13
  2732.00    1.868E+12    2.505E+04    3.874E-27    1.257E+13    1.444E+13
  2730.00    1.905E+12    2.588E+04    3.887E-27    1.277E+13    1.467E+13
  2728.00    1.924E+12    2.632E+04    3.893E-27    1.286E+13    1.479E+13
  2726.00    1.963E+12    2.719E+04    3.906E-27    1.306E+13    1.502E+13
  2724.00    1.982E+12    2.764E+04    3.912E-27    1.316E+13    1.514E+13
  2722.00    2.021E+12    2.856E+04    3.924E-27    1.336E+13    1.538E+13
  2720.00    2.041E+12    2.903E+04    3.930E-27    1.346E+13    1.550E+13
  2718.00    2.081E+12    2.999E+04    3.941E-27    1.367E+13    1.575E+13
  2716.00    2.101E+12    3.049E+04    3.947E-27    1.377E+13    1.587E+13
  2714.00    2.142E+12    3.149E+04    3.958E-27    1.397E+13    1.612E+13
  2712.00    2.163E+12    3.201E+04    3.963E-27    1.408E+13    1.624E+13
  2710.00    2.205E+12    3.307E+04    3.974E-27    1.429E+13    1.649E+13
  2708.00    2.226E+12    3.362E+04    3.979E-27    1.439E+13    1.662E+13
  2706.00    2.269E+12    3.473E+04    3.989E-27    1.460E+13    1.687E+13
  2704.00    2.291E+12    3.530E+04    3.994E-27    1.471E+13    1.700E+13
  2702.00    2.335E+12    3.647E+04    4.004E-27    1.493E+13    1.726E+13
  2700.00    2.358E+12    3.708E+04    4.009E-27    1.503E+13    1.739E+13
  2698.00    2.403E+12    3.831E+04    4.018E-27    1.525E+13    1.766E+13
  2696.00    2.426E+12    3.895E+04    4.023E-27    1.536E+13    1.779E+13
  2694.00    2.473E+12    4.024E+04    4.032E-27    1.559E+13    1.806E+13
  2692.00    2.496E+12    4.091E+04    4.037E-27    1.570E+13    1.819E+13
  2690.00    2.544E+12    4.227E+04    4.045E-27    1.592E+13    1.847E+13
  2688.00    2.568E+12    4.297E+04    4.050E-27    1.604E+13    1.861E+13
  2686.00    2.617E+12    4.439E+04    4.058E-27    1.627E+13    1.888E+13
  2684.00    2.641E+12    4.513E+04    4.062E-27    1.638E+13    1.902E+13
  2682.00    2.691E+12    4.662E+04    4.070E-27    1.661E+13    1.930E+13
  2680.00    2.717E+12    4.738E+04    4.074E-27    1.673E+13    1.945E+13
  2678.00    2.768E+12    4.894E+04    4.082E-27    1.697E+13    1.973E+13
  2676.00    2.794E+12    4.974E+04    4.085E-27    1.708E+13    1.988E+13
  2674.00    2.846E+12    5.137E+04    4.093E-27    1.732E+13    2.017E+13
  2672.00    2.872E+12    5.221E+04    4.096E-27    1.744E+13    2.031E+13
  2670.00    2.926E+12    5.391E+04    4.103E-27    1.768E+13    2.061E+13
  2668.00    2.953E+12    5.479E+04    4.107E-27    1.780E+13    2.075E+13
  2666.00    3.007E+12    5.657E+04    4.114E-27    1.805E+13    2.105E+13
  2664.00    3.035E+12    5.749E+04    4.117E-27    1.817E+13    2.120E+13
  2662.00    3.091E+12    5.937E+04    4.123E-27    1.842E+13    2.151E+13
  2660.00    3.120E+12    6.033E+04    4.126E-27    1.854E+13    2.166E+13
  2658.00    3.177E+12    6.230E+04    4.133E-27    1.879E+13    2.197E+13
  2656.00    3.206E+12    6.332E+04    4.136E-27    1.892E+13    2.212E+13
  2654.00    3.265E+12    6.539E+04    4.141E-27    1.917E+13    2.244E+13
  2652.00    3.295E+12    6.646E+04    4.144E-27    1.930E+13    2.260E+13
  2650.00    3.355E+12    6.865E+04    4.150E-27    1.956E+13    2.292E+13
  2648.00    3.386E+12    6.977E+04    4.153E-27    1.969E+13    2.308E+13
  2646.00    3.448E+12    7.207E+04    4.158E-27    1.996E+13    2.340E+13
  2644.00    3.479E+12    7.325E+04    4.161E-27    2.009E+13    2.357E+13
  2642.00    3.543E+12    7.567E+04    4.166E-27    2.036E+13    2.390E+13
  2640.00    3.575E+12    7.691E+04    4.168E-27    2.049E+13    2.407E+13
  2638.00    3.640E+12    7.944E+04    4.173E-27    2.076E+13    2.440E+13
  2636.00    3.673E+12    8.074E+04    4.175E-27    2.090E+13    2.457E+13
  2634.00    3.739E+12    8.339E+04    4.180E-27    2.118E+13    2.492E+13
  2632.00    3.773E+12    8.475E+04    4.182E-27    2.132E+13    2.509E+13
  2630.00    3.841E+12    8.751E+04    4.186E-27    2.159E+13    2.543E+13
  2628.00    3.875E+12    8.894E+04    4.189E-27    2.173E+13    2.561E+13
  2626.00    3.945E+12    9.183E+04    4.193E-27    2.202E+13    2.596E+13
  2624.00    3.980E+12    9.332E+04    4.195E-27    2.216E+13    2.614E+13
  2622.00    4.051E+12    9.634E+04    4.199E-27    2.244E+13    2.649E+13
  2620.00    4.087E+12    9.790E+04    4.200E-27    2.259E+13    2.667E+13
  2618.00    4.160E+12    1.011E+05    4.204E-27    2.288E+13    2.704E+13
  2616.00    4.196E+12    1.027E+05    4.206E-27    2.302E+13    2.722E+13
  2614.00    4.271E+12    1.060E+05    4.210E-27    2.331E+13    2.759E+13
  2612.00    4.309E+12    1.077E+05    4.211E-27    2.346E+13    2.777E+13
  2610.00    4.385E+12    1.112E+05    4.215E-27    2.376E+13    2.814E+13
  2608.00    4.424E+12    1.130E+05    4.216E-27    2.391E+13    2.833E+13
  2606.00    4.502E+12    1.167E+05    4.219E-27    2.421E+13    2.871E+13
  2604.00    4.542E+12    1.186E+05    4.221E-27    2.436E+13    2.890E+13
  2602.00    4.622E+12    1.224E+05    4.224E-27    2.467E+13    2.929E+13
  2600.00    4.663E+12    1.244E+05    4.225E-27    2.482E+13    2.948E+13
  2598.00    4.745E+12    1.285E+05    4.228E-27    2.513E+13    2.988E+13
  2596.00    4.787E+12    1.306E+05    4.229E-27    2.529E+13    3.008E+13
  2594.00    4.871E+12    1.349E+05    4.232E-27    2.560E+13    3.048E+13
  2592.00    4.914E+12    1.371E+05    4.233E-27    2.576E+13    3.068E+13
  2590.00    5.001E+12    1.415E+05    4.236E-27    2.608E+13    3.109E+13
  2588.00    5.045E+12    1.438E+05    4.237E-27    2.625E+13    3.129E+13
  2586.00    5.134E+12    1.485E+05    4.239E-27    2.657E+13    3.171E+13
  2584.00    5.179E+12    1.509E+05    4.240E-27    2.674E+13    3.191E+13
  2582.00    5.270E+12    1.558E+05    4.242E-27    2.707E+13    3.234E+13
  2580.00    5.316E+12    1.584E+05    4.243E-27    2.723E+13    3.255E+13
  2578.00    5.408E+12    1.635E+05    4.245E-27    2.757E+13    3.297E+13
  2576.00    5.455E+12    1.661E+05    4.246E-27    2.773E+13    3.319E+13
  2574.00    5.550E+12    1.715E+05    4.248E-27    2.807E+13    3.362E+13
  2572.00    5.598E+12    1.743E+05    4.249E-27    2.824E+13    3.384E+13
  2570.00    5.696E+12    1.799E+05    4.251E-27    2.859E+13    3.428E+13
  2568.00    5.745E+12    1.828E+05    4.252E-27    2.876E+13    3.451E+13
  2566.00    5.844E+12    1.886E+05    4.253E-27    2.911E+13    3.495E+13
  2564.00    5.894E+12    1.917E+05    4.254E-27    2.928E+13    3.518E+13
  2562.00    5.996E+12    1.978E+05    4.256E-27    2.964E+13    3.563E+13
