1.21E+07	1.99E+03
1.06E+07	2.01E+03
8.91E+06	2.04E+03
7.83E+06	2.06E+03
6.57E+06	2.09E+03
5.78E+06	2.11E+03
4.85E+06	2.14E+03
4.27E+06	2.16E+03
3.59E+06	2.19E+03
3.16E+06	2.21E+03
2.65E+06	2.24E+03
2.33E+06	2.26E+03
1.96E+06	2.29E+03
1.73E+06	2.31E+03
1.45E+06	2.34E+03
1.28E+06	2.36E+03
1.07E+06	2.39E+03
9.46E+05	2.41E+03
7.95E+05	2.44E+03
7.00E+05	2.46E+03
5.89E+05	2.49E+03
5.19E+05	2.51E+03
4.37E+05	2.54E+03
3.85E+05	2.56E+03
3.24E+05	2.59E+03
2.85E+05	2.61E+03
2.40E+05	2.64E+03
2.12E+05	2.66E+03
1.78E+05	2.69E+03
1.57E+05	2.71E+03
1.32E+05	2.74E+03
1.17E+05	2.76E+03
9.84E+04	2.79E+03
8.68E+04	2.81E+03
7.31E+04	2.84E+03
6.45E+04	2.86E+03
5.44E+04	2.89E+03
4.80E+04	2.91E+03
4.04E+04	2.94E+03
3.57E+04	2.96E+03
3.01E+04	2.99E+03
2.83E+04	3.00E+03
