  0.2980E+03  0.1160E+15  0.1800E+14  0.2810E+12  0.6980E+06  0.1343E+15  0.3477E+07
  0.3000E+03  0.1069E+15  0.1660E+14  0.2595E+12  0.8870E+06  0.1238E+15  0.2989E+07
  0.3020E+03  0.9820E+14  0.1530E+14  0.2390E+12  0.1130E+07  0.1137E+15  0.2824E+07
  0.3040E+03  0.9090E+14  0.1420E+14  0.2213E+12  0.1433E+07  0.1053E+15  0.3193E+07
  0.3060E+03  0.8463E+14  0.1324E+14  0.2056E+12  0.1855E+07  0.9807E+14  0.3513E+07
  0.3080E+03  0.7870E+14  0.1230E+14  0.1910E+12  0.2470E+07  0.9119E+14  0.3441E+07
  0.3100E+03  0.7264E+14  0.1132E+14  0.1766E+12  0.3339E+07  0.8414E+14  0.3054E+07
  0.3120E+03  0.6690E+14  0.1040E+14  0.1630E+12  0.4470E+07  0.7746E+14  0.2933E+07
  0.3140E+03  0.6199E+14  0.9634E+13  0.1510E+12  0.5903E+07  0.7177E+14  0.3189E+07
  0.3160E+03  0.5768E+14  0.8980E+13  0.1401E+12  0.7857E+07  0.6680E+14  0.3396E+07
  0.3180E+03  0.5360E+14  0.8360E+13  0.1300E+12  0.1060E+08  0.6209E+14  0.3302E+07
  0.3200E+03  0.4948E+14  0.7719E+13  0.1202E+12  0.1432E+08  0.5732E+14  0.2956E+07
  0.3220E+03  0.4560E+14  0.7110E+13  0.1110E+12  0.1890E+08  0.5282E+14  0.2854E+07
  0.3240E+03  0.4225E+14  0.6589E+13  0.1029E+12  0.2430E+08  0.4894E+14  0.3063E+07
  0.3260E+03  0.3930E+14  0.6134E+13  0.9566E+11  0.3112E+08  0.4553E+14  0.3255E+07
  0.3280E+03  0.3650E+14  0.5700E+13  0.8870E+11  0.4010E+08  0.4229E+14  0.3185E+07
  0.3300E+03  0.3370E+14  0.5260E+13  0.8177E+11  0.5169E+08  0.3904E+14  0.2915E+07
  0.3320E+03  0.3110E+14  0.4850E+13  0.7540E+11  0.6520E+08  0.3603E+14  0.2879E+07
  0.3340E+03  0.2891E+14  0.4506E+13  0.7008E+11  0.8002E+08  0.3348E+14  0.3132E+07
  0.3360E+03  0.2694E+14  0.4198E+13  0.6532E+11  0.9715E+08  0.3120E+14  0.3249E+07
  0.3380E+03  0.2490E+14  0.3880E+13  0.6040E+11  0.1180E+09  0.2884E+14  0.2872E+07
  0.3400E+03  0.2262E+14  0.3523E+13  0.5485E+11  0.1433E+09  0.2620E+14  0.2299E+07
  0.3420E+03  0.2030E+14  0.3160E+13  0.4920E+11  0.1710E+09  0.2351E+14  0.1989E+07
  0.3440E+03  0.1819E+14  0.2832E+13  0.4407E+11  0.1994E+09  0.2106E+14  0.1924E+07
  0.3460E+03  0.1628E+14  0.2536E+13  0.3943E+11  0.2302E+09  0.1885E+14  0.1890E+07
  0.3480E+03  0.1450E+14  0.2260E+13  0.3510E+11  0.2660E+09  0.1680E+14  0.1810E+07
  0.3500E+03  0.1281E+14  0.1996E+13  0.3100E+11  0.3082E+09  0.1484E+14  0.1668E+07
  0.3520E+03  0.1130E+14  0.1760E+13  0.2740E+11  0.3530E+09  0.1309E+14  0.1642E+07
  0.3540E+03  0.1003E+14  0.1568E+13  0.2455E+11  0.3966E+09  0.1163E+14  0.1741E+07
  0.3560E+03  0.8973E+13  0.1407E+13  0.2208E+11  0.4416E+09  0.1040E+14  0.1847E+07
  0.3580E+03  0.8040E+13  0.1260E+13  0.1950E+11  0.4920E+09  0.9320E+13  0.1896E+07
  0.3600E+03  0.7181E+13  0.1113E+13  0.1647E+11  0.5500E+09  0.8311E+13  0.1818E+07
  0.3620E+03  0.6430E+13  0.9760E+12  0.1340E+11  0.6110E+09  0.7420E+13  0.1839E+07
  0.3640E+03  0.5823E+13  0.8625E+12  0.1075E+11  0.6704E+09  0.6697E+13  0.2047E+07
  0.3660E+03  0.5327E+13  0.7687E+12  0.8563E+10  0.7305E+09  0.6105E+13  0.2286E+07
  0.3680E+03  0.4890E+13  0.6870E+12  0.6770E+10  0.7950E+09  0.5585E+13  0.2387E+07
  0.3700E+03  0.4476E+13  0.6121E+12  0.5312E+10  0.8659E+09  0.5095E+13  0.2310E+07
  0.3720E+03  0.4110E+13  0.5470E+12  0.4170E+10  0.9370E+09  0.4662E+13  0.2393E+07
  0.3740E+03  0.3818E+13  0.4951E+12  0.3324E+10  0.1003E+10  0.4317E+13  0.2800E+07
  0.3760E+03  0.3579E+13  0.4528E+12  0.2697E+10  0.1065E+10  0.4036E+13  0.3251E+07
  0.3780E+03  0.3360E+13  0.4150E+12  0.2200E+10  0.1130E+10  0.3778E+13  0.3336E+07
  0.3800E+03  0.3138E+13  0.3779E+12  0.1764E+10  0.1200E+10  0.3518E+13  0.3079E+07
  0.3820E+03  0.2930E+13  0.3440E+12  0.1400E+10  0.1270E+10  0.3277E+13  0.3091E+07
  0.3840E+03  0.2758E+13  0.3160E+12  0.1127E+10  0.1336E+10  0.3077E+13  0.3512E+07
