218	
1.13E+13	2.00E+02
1.05E+13	2.02E+02
8.56E+12	2.08E+02
7.37E+12	2.12E+02
6.00E+12	2.18E+02
5.14E+12	2.22E+02
4.12E+12	2.28E+02
3.50E+12	2.32E+02
2.81E+12	2.38E+02
2.39E+12	2.42E+02
1.91E+12	2.48E+02
1.63E+12	2.52E+02
1.30E+12	2.58E+02
1.11E+12	2.62E+02
8.87E+11	2.68E+02
7.54E+11	2.72E+02
6.04E+11	2.78E+02
5.14E+11	2.82E+02
4.12E+11	2.88E+02
3.50E+11	2.92E+02
2.81E+11	2.98E+02
2.39E+11	3.02E+02
1.91E+11	3.08E+02
1.63E+11	3.12E+02
1.30E+11	3.18E+02
1.11E+11	3.22E+02
8.87E+10	3.28E+02
7.54E+10	3.32E+02
6.04E+10	3.38E+02
4.92E+10	3.42E+02
3.51E+10	3.48E+02
2.74E+10	3.52E+02
1.95E+10	3.58E+02
1.34E+10	3.62E+02
6.77E+09	3.68E+02
4.17E+09	3.72E+02
2.20E+09	3.78E+02
1.40E+09	3.82E+02
7.64E+08	3.88E+02
4.95E+08	3.92E+02
2.78E+08	3.98E+02
1.84E+08	4.02E+02
1.06E+08	4.08E+02
7.09E+07	4.12E+02
4.16E+07	4.18E+02
2.83E+07	4.22E+02
1.69E+07	4.28E+02
1.16E+07	4.32E+02
7.05E+06	4.38E+02
4.91E+06	4.42E+02
3.02E+06	4.48E+02
2.13E+06	4.52E+02
1.32E+06	4.58E+02
9.39E+05	4.62E+02
5.91E+05	4.68E+02
4.23E+05	4.72E+02
2.69E+05	4.78E+02
1.94E+05	4.82E+02
1.25E+05	4.88E+02
9.06E+04	4.92E+02
5.87E+04	4.98E+02
4.29E+04	5.02E+02
2.81E+04	5.08E+02
2.06E+04	5.12E+02
1.36E+04	5.18E+02
1.00E+04	5.22E+02
6.66E+03	5.28E+02
4.94E+03	5.32E+02
3.30E+03	5.38E+02
2.46E+03	5.42E+02
1.66E+03	5.48E+02
1.24E+03	5.52E+02
8.38E+02	5.58E+02
6.30E+02	5.62E+02
4.28E+02	5.68E+02
3.23E+02	5.72E+02
2.21E+02	5.78E+02
1.67E+02	5.82E+02
1.15E+02	5.88E+02
8.73E+01	5.92E+02
6.01E+01	5.98E+02
4.59E+01	6.02E+02
3.17E+01	6.08E+02
2.43E+01	6.12E+02
1.69E+01	6.18E+02
1.29E+01	6.22E+02
9.02E+00	6.28E+02
6.94E+00	6.32E+02
4.85E+00	6.38E+02
3.74E+00	6.42E+02
2.63E+00	6.48E+02
2.03E+00	6.52E+02
1.43E+00	6.58E+02
1.11E+00	6.62E+02
7.81E-01	6.68E+02
6.06E-01	6.72E+02
4.29E-01	6.78E+02
3.34E-01	6.82E+02
2.37E-01	6.88E+02
1.85E-01	6.92E+02
1.31E-01	6.98E+02
1.03E-01	7.02E+02
7.31E-02	7.08E+02
5.72E-02	7.12E+02
4.09E-02	7.18E+02
3.20E-02	7.22E+02
2.29E-02	7.28E+02
1.80E-02	7.32E+02
1.29E-02	7.38E+02
1.01E-02	7.42E+02
7.29E-03	7.48E+02
5.73E-03	7.52E+02
4.13E-03	7.58E+02
3.25E-03	7.62E+02
2.35E-03	7.68E+02
1.85E-03	7.72E+02
1.34E-03	7.78E+02
1.06E-03	7.82E+02
7.65E-04	7.88E+02
6.05E-04	7.92E+02
4.39E-04	7.98E+02
3.47E-04	8.02E+02
2.52E-04	8.08E+02
2.00E-04	8.12E+02
1.45E-04	8.18E+02
1.15E-04	8.22E+02
8.38E-05	8.28E+02
6.65E-05	8.32E+02
4.85E-05	8.38E+02
