 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2334.00    2.482E+13    3.880E+12    6.030E+10    1.050E+14     1.669E+07
  2332.00    2.503E+13    3.912E+12    6.080E+10    1.056E+14     1.689E+07
  2330.00    2.544E+13    3.976E+12    6.180E+10    1.069E+14     1.809E+07
  2328.00    2.565E+13    4.008E+12    6.230E+10    1.076E+14     1.728E+07
  2326.00    2.607E+13    4.074E+12    6.332E+10    1.089E+14     1.656E+07
  2324.00    2.628E+13    4.108E+12    6.384E+10    1.095E+14     1.769E+07
  2322.00    2.671E+13    4.175E+12    6.489E+10    1.108E+14     1.695E+07
  2320.00    2.693E+13    4.209E+12    6.542E+10    1.115E+14     1.715E+07
  2318.00    2.737E+13    4.278E+12    6.649E+10    1.128E+14     1.648E+07
  2316.00    2.759E+13    4.313E+12    6.703E+10    1.135E+14     1.668E+07
  2314.00    2.804E+13    4.383E+12    6.813E+10    1.149E+14     1.608E+07
  2312.00    2.827E+13    4.419E+12    6.869E+10    1.156E+14     1.628E+07
  2310.00    2.874E+13    4.492E+12    6.981E+10    1.170E+14     1.573E+07
  2308.00    2.897E+13    4.528E+12    7.038E+10    1.177E+14     1.593E+07
  2306.00    2.945E+13    4.602E+12    7.154E+10    1.191E+14     1.543E+07
  2304.00    2.969E+13    4.640E+12    7.212E+10    1.198E+14     1.563E+07
  2302.00    3.017E+13    4.716E+12    7.330E+10    1.213E+14     1.583E+07
  2300.00    3.042E+13    4.755E+12    7.391E+10    1.220E+14     1.603E+07
  2298.00    3.092E+13    4.833E+12    7.512E+10    1.235E+14     1.555E+07
  2296.00    3.117E+13    4.873E+12    7.573E+10    1.242E+14     1.643E+07
  2294.00    3.169E+13    4.952E+12    7.698E+10    1.257E+14     1.594E+07
  2292.00    3.195E+13    4.993E+12    7.761E+10    1.265E+14     1.684E+07
  2290.00    3.247E+13    5.075E+12    7.888E+10    1.280E+14     1.704E+07
  2288.00    3.274E+13    5.117E+12    7.953E+10    1.288E+14     1.724E+07
  2286.00    3.327E+13    5.200E+12    8.083E+10    1.304E+14     1.744E+07
  2284.00    3.354E+13    5.243E+12    8.149E+10    1.312E+14     1.764E+07
  2282.00    3.409E+13    5.329E+12    8.283E+10    1.327E+14     1.784E+07
  2280.00    3.437E+13    5.372E+12    8.350E+10    1.335E+14     1.804E+07
  2278.00    3.493E+13    5.460E+12    8.486E+10    1.352E+14     1.748E+07
  2276.00    3.522E+13    5.504E+12    8.556E+10    1.360E+14     1.768E+07
  2274.00    3.579E+13    5.594E+12    8.695E+10    1.376E+14     1.788E+07
  2272.00    3.608E+13    5.640E+12    8.766E+10    1.384E+14     1.736E+07
  2270.00    3.667E+13    5.731E+12    8.908E+10    1.401E+14     1.756E+07
  2268.00    3.697E+13    5.778E+12    8.981E+10    1.410E+14     1.644E+07
  2266.00    3.757E+13    5.872E+12    9.127E+10    1.427E+14     1.664E+07
  2264.00    3.787E+13    5.919E+12    9.201E+10    1.435E+14     1.684E+07
  2262.00    3.849E+13    6.016E+12    9.350E+10    1.452E+14     1.587E+07
  2260.00    3.880E+13    6.064E+12    9.426E+10    1.461E+14     1.553E+07
  2258.00    3.943E+13    6.163E+12    9.579E+10    1.479E+14     1.573E+07
  2256.00    3.975E+13    6.213E+12    9.657E+10    1.488E+14     1.494E+07
  2254.00    4.040E+13    6.315E+12    9.815E+10    1.506E+14     1.563E+07
  2252.00    4.073E+13    6.366E+12    9.895E+10    1.515E+14     1.487E+07
  2250.00    4.139E+13    6.470E+12    1.006E+11    1.533E+14     1.507E+07
  2248.00    4.173E+13    6.523E+12    1.014E+11    1.542E+14     1.574E+07
  2246.00    4.241E+13    6.629E+12    1.030E+11    1.561E+14     1.546E+07
  2244.00    4.276E+13    6.684E+12    1.039E+11    1.571E+14     1.566E+07
  2242.00    4.346E+13    6.793E+12    1.056E+11    1.590E+14     1.586E+07
  2240.00    4.382E+13    6.849E+12    1.064E+11    1.599E+14     1.656E+07
  2238.00    4.453E+13    6.961E+12    1.082E+11    1.619E+14     1.625E+07
  2236.00    4.490E+13    7.018E+12    1.091E+11    1.629E+14     1.697E+07
  2234.00    4.563E+13    7.133E+12    1.109E+11    1.649E+14     1.772E+07
  2232.00    4.601E+13    7.191E+12    1.118E+11    1.659E+14     1.684E+07
  2230.00    4.676E+13    7.308E+12    1.136E+11    1.679E+14     1.757E+07
  2228.00    4.714E+13    7.368E+12    1.145E+11    1.689E+14     1.777E+07
  2226.00    4.791E+13    7.488E+12    1.164E+11    1.709E+14     1.742E+07
  2224.00    4.830E+13    7.549E+12    1.173E+11    1.720E+14     1.711E+07
  2222.00    4.908E+13    7.672E+12    1.192E+11    1.741E+14     1.731E+07
  2220.00    4.948E+13    7.734E+12    1.202E+11    1.751E+14     1.701E+07
  2218.00    5.029E+13    7.860E+12    1.222E+11    1.772E+14     1.673E+07
  2216.00    5.070E+13    7.924E+12    1.232E+11    1.783E+14     1.693E+07
  2214.00    5.152E+13    8.053E+12    1.252E+11    1.805E+14     1.623E+07
  2212.00    5.194E+13    8.118E+12    1.262E+11    1.815E+14     1.601E+07
  2210.00    5.279E+13    8.250E+12    1.282E+11    1.837E+14     1.580E+07
  2208.00    5.322E+13    8.318E+12    1.293E+11    1.849E+14     1.561E+07
  2206.00    5.408E+13    8.453E+12    1.314E+11    1.871E+14     1.507E+07
  2204.00    5.452E+13    8.522E+12    1.325E+11    1.882E+14     1.527E+07
  2202.00    5.541E+13    8.661E+12    1.346E+11    1.905E+14     1.547E+07
  2200.00    5.587E+13    8.732E+12    1.357E+11    1.917E+14     1.532E+07
  2198.00    5.678E+13    8.875E+12    1.379E+11    1.940E+14     1.552E+07
  2196.00    5.724E+13    8.947E+12    1.391E+11    1.952E+14     1.572E+07
  2194.00    5.818E+13    9.093E+12    1.413E+11    1.976E+14     1.592E+07
  2192.00    5.866E+13    9.168E+12    1.425E+11    1.988E+14     1.612E+07
  2190.00    5.962E+13    9.318E+12    1.448E+11    2.012E+14     1.670E+07
  2188.00    6.010E+13    9.394E+12    1.460E+11    2.025E+14     1.690E+07
  2186.00    6.109E+13    9.548E+12    1.484E+11    2.050E+14     1.710E+07
  2184.00    6.158E+13    9.626E+12    1.496E+11    2.062E+14     1.771E+07
  2182.00    6.259E+13    9.783E+12    1.521E+11    2.087E+14     1.749E+07
  2180.00    6.310E+13    9.863E+12    1.533E+11    2.100E+14     1.769E+07
  2178.00    6.413E+13    1.002E+13    1.558E+11    2.126E+14     1.789E+07
  2176.00    6.465E+13    1.010E+13    1.571E+11    2.139E+14     1.768E+07
  2174.00    6.570E+13    1.027E+13    1.596E+11    2.165E+14     1.748E+07
  2172.00    6.624E+13    1.035E+13    1.609E+11    2.178E+14     1.768E+07
  2170.00    6.731E+13    1.052E+13    1.635E+11    2.204E+14     1.712E+07
  2168.00    6.786E+13    1.061E+13    1.649E+11    2.218E+14     1.732E+07
  2166.00    6.896E+13    1.078E+13    1.675E+11    2.245E+14     1.681E+07
  2164.00    6.952E+13    1.087E+13    1.689E+11    2.258E+14     1.634E+07
  2162.00    7.065E+13    1.104E+13    1.716E+11    2.286E+14     1.622E+07
  2160.00    7.122E+13    1.113E+13    1.730E+11    2.300E+14     1.581E+07
  2158.00    7.238E+13    1.131E+13    1.758E+11    2.328E+14     1.572E+07
  2156.00    7.296E+13    1.140E+13    1.773E+11    2.342E+14     1.536E+07
  2154.00    7.415E+13    1.159E+13    1.801E+11    2.371E+14     1.530E+07
  2152.00    7.475E+13    1.168E+13    1.816E+11    2.385E+14     1.523E+07
  2150.00    7.597E+13    1.187E+13    1.846E+11    2.415E+14     1.543E+07
  2148.00    7.659E+13    1.197E+13    1.861E+11    2.429E+14     1.563E+07
  2146.00    7.784E+13    1.217E+13    1.891E+11    2.459E+14     1.557E+07
  2144.00    7.847E+13    1.227E+13    1.906E+11    2.474E+14     1.577E+07
  2142.00    7.976E+13    1.247E+13    1.938E+11    2.505E+14     1.624E+07
  2140.00    8.041E+13    1.257E+13    1.953E+11    2.520E+14     1.644E+07
  2138.00    8.172E+13    1.277E+13    1.985E+11    2.552E+14     1.693E+07
  2136.00    8.239E+13    1.288E+13    2.001E+11    2.567E+14     1.713E+07
  2134.00    8.373E+13    1.309E+13    2.034E+11    2.599E+14     1.733E+07
  2132.00    8.441E+13    1.319E+13    2.051E+11    2.615E+14     1.723E+07
  2130.00    8.579E+13    1.341E+13    2.084E+11    2.647E+14     1.773E+07
  2128.00    8.648E+13    1.352E+13    2.101E+11    2.663E+14     1.733E+07
  2126.00    8.789E+13    1.374E+13    2.135E+11    2.696E+14     1.753E+07
  2124.00    8.860E+13    1.385E+13    2.153E+11    2.713E+14     1.744E+07
  2122.00    9.004E+13    1.407E+13    2.187E+11    2.746E+14     1.736E+07
  2120.00    9.077E+13    1.419E+13    2.205E+11    2.763E+14     1.701E+07
  2118.00    9.225E+13    1.442E+13    2.241E+11    2.797E+14     1.694E+07
  2116.00    9.299E+13    1.453E+13    2.259E+11    2.814E+14     1.663E+07
  2114.00    9.450E+13    1.477E+13    2.296E+11    2.849E+14     1.611E+07
  2112.00    9.527E+13    1.489E+13    2.314E+11    2.866E+14     1.608E+07
  2110.00    9.681E+13    1.513E+13    2.352E+11    2.902E+14     1.562E+07
  2108.00    9.760E+13    1.525E+13    2.371E+11    2.920E+14     1.561E+07
  2106.00    9.918E+13    1.550E+13    2.410E+11    2.956E+14     1.520E+07
  2104.00    9.999E+13    1.563E+13    2.429E+11    2.974E+14     1.521E+07
  2102.00    1.016E+14    1.588E+13    2.469E+11    3.011E+14     1.521E+07
  2100.00    1.024E+14    1.601E+13    2.489E+11    3.029E+14     1.522E+07
  2098.00    1.041E+14    1.627E+13    2.529E+11    3.067E+14     1.542E+07
  2096.00    1.050E+14    1.641E+13    2.550E+11    3.086E+14     1.562E+07
  2094.00    1.067E+14    1.667E+13    2.592E+11    3.124E+14     1.582E+07
  2092.00    1.076E+14    1.681E+13    2.613E+11    3.144E+14     1.623E+07
  2090.00    1.093E+14    1.709E+13    2.656E+11    3.183E+14     1.663E+07
  2088.00    1.102E+14    1.722E+13    2.677E+11    3.203E+14     1.683E+07
  2086.00    1.120E+14    1.751E+13    2.721E+11    3.243E+14     1.703E+07
  2084.00    1.129E+14    1.765E+13    2.743E+11    3.263E+14     1.744E+07
  2082.00    1.148E+14    1.794E+13    2.788E+11    3.304E+14     1.743E+07
  2080.00    1.157E+14    1.808E+13    2.811E+11    3.324E+14     1.763E+07
  2078.00    1.176E+14    1.838E+13    2.856E+11    3.365E+14     1.761E+07
  2076.00    1.185E+14    1.853E+13    2.879E+11    3.386E+14     1.759E+07
  2074.00    1.205E+14    1.883E+13    2.926E+11    3.429E+14     1.736E+07
  2072.00    1.214E+14    1.898E+13    2.950E+11    3.450E+14     1.735E+07
  2070.00    1.234E+14    1.929E+13    2.998E+11    3.493E+14     1.694E+07
  2068.00    1.244E+14    1.944E+13    3.022E+11    3.514E+14     1.676E+07
  2066.00    1.264E+14    1.976E+13    3.071E+11    3.558E+14     1.659E+07
  2064.00    1.274E+14    1.992E+13    3.096E+11    3.580E+14     1.627E+07
  2062.00    1.295E+14    2.024E+13    3.146E+11    3.625E+14     1.578E+07
  2060.00    1.306E+14    2.041E+13    3.172E+11    3.648E+14     1.552E+07
  2058.00    1.327E+14    2.074E+13    3.223E+11    3.693E+14     1.525E+07
  2056.00    1.338E+14    2.091E+13    3.250E+11    3.716E+14     1.517E+07
  2054.00    1.359E+14    2.125E+13    3.303E+11    3.763E+14     1.494E+07
  2052.00    1.370E+14    2.142E+13    3.329E+11    3.786E+14     1.515E+07
  2050.00    1.393E+14    2.177E+13    3.384E+11    3.834E+14     1.506E+07
  2048.00    1.404E+14    2.195E+13    3.411E+11    3.858E+14     1.526E+07
  2046.00    1.427E+14    2.231E+13    3.467E+11    3.906E+14     1.559E+07
  2044.00    1.439E+14    2.249E+13    3.496E+11    3.931E+14     1.579E+07
  2042.00    1.462E+14    2.286E+13    3.553E+11    3.981E+14     1.613E+07
  2040.00    1.474E+14    2.304E+13    3.582E+11    4.006E+14     1.662E+07
  2038.00    1.498E+14    2.342E+13    3.640E+11    4.056E+14     1.698E+07
  2036.00    1.511E+14    2.361E+13    3.670E+11    4.082E+14     1.751E+07
  2034.00    1.535E+14    2.400E+13    3.730E+11    4.134E+14     1.753E+07
  2032.00    1.548E+14    2.419E+13    3.760E+11    4.160E+14     1.791E+07
  2030.00    1.573E+14    2.459E+13    3.822E+11    4.212E+14     1.775E+07
  2028.00    1.586E+14    2.479E+13    3.853E+11    4.239E+14     1.797E+07
  2026.00    1.612E+14    2.519E+13    3.915E+11    4.292E+14     1.785E+07
  2024.00    1.625E+14    2.540E+13    3.947E+11    4.319E+14     1.772E+07
  2022.00    1.651E+14    2.581E+13    4.011E+11    4.373E+14     1.746E+07
  2020.00    1.665E+14    2.602E+13    4.044E+11    4.401E+14     1.651E+07
  2018.00    1.692E+14    2.644E+13    4.109E+11    4.456E+14     1.840E+07
  2016.00    1.705E+14    2.665E+13    4.143E+11    4.484E+14     1.576E+07
  2014.00    1.733E+14    2.709E+13    4.210E+11    4.541E+14     1.598E+07
  2012.00    1.747E+14    2.730E+13    4.244E+11    4.570E+14     1.619E+07
  2010.00    1.775E+14    2.775E+13    4.313E+11    4.627E+14     1.524E+07
  2008.00    1.790E+14    2.797E+13    4.348E+11    4.657E+14     1.546E+07
  2006.00    1.819E+14    2.843E+13    4.419E+11    4.716E+14     1.463E+07
  2004.00    1.834E+14    2.866E+13    4.455E+11    4.745E+14     1.484E+07
  2002.00    1.864E+14    2.913E+13    4.527E+11    4.806E+14     1.504E+07
  2000.00    1.879E+14    2.936E+13    4.564E+11    4.836E+14     1.428E+07
  1998.00    1.909E+14    2.985E+13    4.639E+11    4.898E+14     1.546E+07
  1996.00    1.925E+14    3.009E+13    4.677E+11    4.929E+14     1.468E+07
  1994.00    1.957E+14    3.058E+13    4.754E+11    4.993E+14     1.585E+07
  1992.00    1.973E+14    3.083E+13    4.793E+11    5.025E+14     1.604E+07
  1990.00    2.005E+14    3.134E+13    4.871E+11    5.089E+14     1.622E+07
  1988.00    2.022E+14    3.160E+13    4.911E+11    5.122E+14     1.758E+07
  1986.00    2.055E+14    3.211E+13    4.992E+11    5.188E+14     1.658E+07
  1984.00    2.071E+14    3.238E+13    5.032E+11    5.221E+14     1.795E+07
  1982.00    2.105E+14    3.291E+13    5.115E+11    5.288E+14     1.692E+07
  1980.00    2.123E+14    3.318E+13    5.157E+11    5.322E+14     1.833E+07
  1978.00    2.157E+14    3.372E+13    5.241E+11    5.390E+14     1.728E+07
  1976.00    2.175E+14    3.399E+13    5.284E+11    5.424E+14     1.872E+07
  1974.00    2.210E+14    3.455E+13    5.370E+11    5.494E+14     1.765E+07
  1972.00    2.228E+14    3.483E+13    5.413E+11    5.529E+14     1.672E+07
  1970.00    2.265E+14    3.540E+13    5.502E+11    5.600E+14     1.806E+07
  1968.00    2.283E+14    3.568E+13    5.546E+11    5.636E+14     1.710E+07
  1966.00    2.320E+14    3.626E+13    5.636E+11    5.708E+14     1.630E+07
  1964.00    2.339E+14    3.656E+13    5.682E+11    5.744E+14     1.650E+07
  1962.00    2.377E+14    3.715E+13    5.775E+11    5.818E+14     1.577E+07
  1960.00    2.396E+14    3.745E+13    5.822E+11    5.855E+14     1.515E+07
  1958.00    2.435E+14    3.806E+13    5.916E+11    5.930E+14     1.535E+07
  1956.00    2.455E+14    3.837E+13    5.965E+11    5.968E+14     1.554E+07
  1954.00    2.495E+14    3.900E+13    6.062E+11    6.045E+14     1.497E+07
  1952.00    2.516E+14    3.932E+13    6.111E+11    6.084E+14     1.445E+07
  1950.00    2.557E+14    3.996E+13    6.211E+11    6.162E+14     1.539E+07
  1948.00    2.578E+14    4.029E+13    6.262E+11    6.202E+14     1.484E+07
  1946.00    2.620E+14    4.095E+13    6.365E+11    6.282E+14     1.580E+07
  1944.00    2.641E+14    4.128E+13    6.417E+11    6.323E+14     1.523E+07
  1942.00    2.685E+14    4.196E+13    6.522E+11    6.405E+14     1.621E+07
  1940.00    2.707E+14    4.231E+13    6.576E+11    6.447E+14     1.640E+07
  1938.00    2.751E+14    4.300E+13    6.683E+11    6.530E+14     1.661E+07
  1936.00    2.774E+14    4.335E+13    6.738E+11    6.573E+14     1.768E+07
  1934.00    2.819E+14    4.406E+13    6.849E+11    6.658E+14     1.788E+07
  1932.00    2.842E+14    4.442E+13    6.905E+11    6.701E+14     1.718E+07
  1930.00    2.889E+14    4.515E+13    7.017E+11    6.788E+14     1.829E+07
  1928.00    2.912E+14    4.552E+13    7.075E+11    6.832E+14     1.757E+07
  1926.00    2.960E+14    4.626E+13    7.190E+11    6.921E+14     1.777E+07
  1924.00    2.984E+14    4.664E+13    7.249E+11    6.966E+14     1.797E+07
  1922.00    3.032E+14    4.740E+13    7.367E+11    7.056E+14     1.730E+07
  1920.00    3.057E+14    4.778E+13    7.427E+11    7.102E+14     1.750E+07
  1918.00    3.107E+14    4.856E+13    7.547E+11    7.194E+14     1.769E+07
  1916.00    3.132E+14    4.895E+13    7.609E+11    7.241E+14     1.635E+07
  1914.00    3.183E+14    4.975E+13    7.732E+11    7.335E+14     1.655E+07
  1912.00    3.209E+14    5.015E+13    7.795E+11    7.382E+14     1.605E+07
  1910.00    3.261E+14    5.097E+13    7.922E+11    7.478E+14     1.560E+07
  1908.00    3.287E+14    5.138E+13    7.986E+11    7.527E+14     1.519E+07
  1906.00    3.341E+14    5.222E+13    8.116E+11    7.625E+14     1.539E+07
  1904.00    3.368E+14    5.264E+13    8.182E+11    7.675E+14     1.501E+07
  1902.00    3.423E+14    5.350E+13    8.316E+11    7.775E+14     1.521E+07
  1900.00    3.451E+14    5.394E+13    8.384E+11    7.826E+14     1.486E+07
  1898.00    3.507E+14    5.482E+13    8.521E+11    7.929E+14     1.506E+07
  1896.00    3.536E+14    5.527E+13    8.590E+11    7.981E+14     1.526E+07
  1894.00    3.594E+14    5.617E+13    8.731E+11    8.086E+14     1.604E+07
  1892.00    3.623E+14    5.663E+13    8.802E+11    8.139E+14     1.566E+07
  1890.00    3.683E+14    5.756E+13    8.947E+11    8.246E+14     1.644E+07
  1888.00    3.713E+14    5.803E+13    9.020E+11    8.301E+14     1.664E+07
  1886.00    3.774E+14    5.898E+13    9.168E+11    8.410E+14     1.684E+07
  1884.00    3.805E+14    5.946E+13    9.243E+11    8.465E+14     1.704E+07
  1882.00    3.867E+14    6.044E+13    9.394E+11    8.577E+14     1.724E+07
  1880.00    3.898E+14    6.093E+13    9.471E+11    8.634E+14     1.744E+07
  1878.00    3.962E+14    6.193E+13    9.625E+11    8.747E+14     1.764E+07
  1876.00    3.994E+14    6.243E+13    9.704E+11    8.805E+14     1.721E+07
  1874.00    4.060E+14    6.345E+13    9.862E+11    8.921E+14     1.741E+07
  1872.00    4.093E+14    6.397E+13    9.943E+11    8.980E+14     1.700E+07
  1870.00    4.159E+14    6.501E+13    1.010E+12    9.098E+14     1.720E+07
  1868.00    4.193E+14    6.554E+13    1.019E+12    9.158E+14     1.682E+07
  1866.00    4.261E+14    6.661E+13    1.035E+12    9.279E+14     1.596E+07
  1864.00    4.296E+14    6.715E+13    1.044E+12    9.340E+14     1.616E+07
  1862.00    4.366E+14    6.824E+13    1.061E+12    9.463E+14     1.586E+07
  1860.00    4.402E+14    6.880E+13    1.069E+12    9.526E+14     1.559E+07
  1858.00    4.473E+14    6.992E+13    1.087E+12    9.652E+14     1.491E+07
  1856.00    4.510E+14    7.049E+13    1.096E+12    9.716E+14     1.511E+07
  1854.00    4.584E+14    7.164E+13    1.114E+12    9.844E+14     1.490E+07
  1852.00    4.621E+14    7.223E+13    1.123E+12    9.910E+14     1.470E+07
  1850.00    4.697E+14    7.341E+13    1.141E+12    1.004E+15     1.490E+07
  1848.00    4.735E+14    7.401E+13    1.150E+12    1.011E+15     1.510E+07
  1846.00    4.813E+14    7.523E+13    1.169E+12    1.024E+15     1.530E+07
  1844.00    4.853E+14    7.585E+13    1.179E+12    1.031E+15     1.550E+07
  1842.00    4.932E+14    7.710E+13    1.198E+12    1.045E+15     1.612E+07
  1840.00    4.973E+14    7.773E+13    1.208E+12    1.052E+15     1.632E+07
  1838.00    5.055E+14    7.901E+13    1.228E+12    1.066E+15     1.652E+07
  1836.00    5.096E+14    7.966E+13    1.238E+12    1.073E+15     1.719E+07
  1834.00    5.180E+14    8.096E+13    1.258E+12    1.088E+15     1.737E+07
  1832.00    5.222E+14    8.163E+13    1.269E+12    1.095E+15     1.759E+07
  1830.00    5.308E+14    8.297E+13    1.290E+12    1.110E+15     1.731E+07
  1828.00    5.351E+14    8.364E+13    1.300E+12    1.117E+15     1.751E+07
  1826.00    5.439E+14    8.501E+13    1.321E+12    1.132E+15     1.771E+07
  1824.00    5.484E+14    8.571E+13    1.332E+12    1.140E+15     1.744E+07
  1822.00    5.573E+14    8.711E+13    1.354E+12    1.155E+15     1.718E+07
  1820.00    5.619E+14    8.782E+13    1.365E+12    1.163E+15     1.738E+07
  1818.00    5.710E+14    8.925E+13    1.387E+12    1.178E+15     1.673E+07
  1816.00    5.757E+14    8.998E+13    1.399E+12    1.186E+15     1.652E+07
  1814.00    5.851E+14    9.145E+13    1.421E+12    1.202E+15     1.635E+07
  1812.00    5.898E+14    9.219E+13    1.433E+12    1.210E+15     1.580E+07
  1810.00    5.995E+14    9.370E+13    1.456E+12    1.226E+15     1.567E+07
  1808.00    6.044E+14    9.446E+13    1.468E+12    1.234E+15     1.519E+07
  1806.00    6.143E+14    9.601E+13    1.492E+12    1.251E+15     1.509E+07
  1804.00    6.193E+14    9.679E+13    1.504E+12    1.259E+15     1.497E+07
  1802.00    6.294E+14    9.838E+13    1.529E+12    1.276E+15     1.489E+07
  1800.00    6.346E+14    9.919E+13    1.542E+12    1.285E+15     1.507E+07
  1798.00    6.450E+14    1.008E+14    1.567E+12    1.302E+15     1.527E+07
  1796.00    6.503E+14    1.016E+14    1.580E+12    1.311E+15     1.516E+07
  1794.00    6.610E+14    1.033E+14    1.606E+12    1.329E+15     1.567E+07
  1792.00    6.664E+14    1.042E+14    1.619E+12    1.338E+15     1.586E+07
  1790.00    6.774E+14    1.059E+14    1.646E+12    1.356E+15     1.637E+07
  1788.00    6.830E+14    1.067E+14    1.659E+12    1.366E+15     1.657E+07
  1786.00    6.942E+14    1.085E+14    1.686E+12    1.384E+15     1.711E+07
  1784.00    6.999E+14    1.094E+14    1.700E+12    1.394E+15     1.695E+07
  1782.00    7.114E+14    1.112E+14    1.728E+12    1.413E+15     1.751E+07
  1780.00    7.172E+14    1.121E+14    1.742E+12    1.422E+15     1.734E+07
  1778.00    7.290E+14    1.139E+14    1.771E+12    1.442E+15     1.756E+07
  1776.00    7.349E+14    1.149E+14    1.785E+12    1.451E+15     1.743E+07
  1774.00    7.470E+14    1.168E+14    1.815E+12    1.471E+15     1.729E+07
  1772.00    7.531E+14    1.177E+14    1.830E+12    1.481E+15     1.717E+07
  1770.00    7.654E+14    1.196E+14    1.859E+12    1.501E+15     1.707E+07
  1768.00    7.716E+14    1.206E+14    1.875E+12    1.511E+15     1.697E+07
  1766.00    7.842E+14    1.226E+14    1.905E+12    1.532E+15     1.660E+07
  1764.00    7.906E+14    1.236E+14    1.921E+12    1.542E+15     1.624E+07
  1762.00    8.036E+14    1.256E+14    1.952E+12    1.563E+15     1.591E+07
  1760.00    8.101E+14    1.266E+14    1.968E+12    1.574E+15     1.563E+07
  1758.00    8.234E+14    1.287E+14    2.000E+12    1.595E+15     1.535E+07
  1756.00    8.301E+14    1.297E+14    2.017E+12    1.606E+15     1.511E+07
  1754.00    8.437E+14    1.319E+14    2.050E+12    1.628E+15     1.532E+07
  1752.00    8.506E+14    1.330E+14    2.067E+12    1.639E+15     1.507E+07
  1750.00    8.646E+14    1.351E+14    2.100E+12    1.662E+15     1.505E+07
  1748.00    8.717E+14    1.362E+14    2.118E+12    1.673E+15     1.525E+07
  1746.00    8.860E+14    1.385E+14    2.153E+12    1.696E+15     1.546E+07
  1744.00    8.933E+14    1.396E+14    2.170E+12    1.708E+15     1.564E+07
  1742.00    9.080E+14    1.419E+14    2.206E+12    1.732E+15     1.606E+07
  1740.00    9.155E+14    1.431E+14    2.224E+12    1.744E+15     1.623E+07
  1738.00    9.306E+14    1.455E+14    2.261E+12    1.768E+15     1.666E+07
  1736.00    9.382E+14    1.466E+14    2.279E+12    1.780E+15     1.710E+07
  1734.00    9.537E+14    1.491E+14    2.317E+12    1.804E+15     1.701E+07
  1732.00    9.615E+14    1.503E+14    2.336E+12    1.817E+15     1.720E+07
  1730.00    9.773E+14    1.528E+14    2.374E+12    1.842E+15     1.738E+07
  1728.00    9.853E+14    1.540E+14    2.394E+12    1.855E+15     1.731E+07
  1726.00    1.002E+15    1.565E+14    2.433E+12    1.880E+15     1.726E+07
  1724.00    1.010E+15    1.578E+14    2.453E+12    1.893E+15     1.720E+07
  1722.00    1.026E+15    1.604E+14    2.493E+12    1.920E+15     1.716E+07
  1720.00    1.035E+15    1.617E+14    2.514E+12    1.933E+15     1.687E+07
  1718.00    1.052E+15    1.644E+14    2.555E+12    1.959E+15     1.686E+07
  1716.00    1.060E+15    1.657E+14    2.576E+12    1.973E+15     1.639E+07
  1714.00    1.078E+15    1.684E+14    2.618E+12    2.000E+15     1.619E+07
  1712.00    1.086E+15    1.698E+14    2.639E+12    2.014E+15     1.580E+07
  1710.00    1.104E+15    1.726E+14    2.682E+12    2.042E+15     1.563E+07
  1708.00    1.113E+15    1.740E+14    2.704E+12    2.056E+15     1.529E+07
  1706.00    1.131E+15    1.768E+14    2.749E+12    2.085E+15     1.515E+07
  1704.00    1.141E+15    1.783E+14    2.771E+12    2.099E+15     1.503E+07
  1702.00    1.159E+15    1.812E+14    2.817E+12    2.128E+15     1.506E+07
  1700.00    1.169E+15    1.827E+14    2.840E+12    2.143E+15     1.510E+07
  1698.00    1.188E+15    1.857E+14    2.887E+12    2.173E+15     1.531E+07
  1696.00    1.198E+15    1.872E+14    2.910E+12    2.188E+15     1.535E+07
  1694.00    1.218E+15    1.903E+14    2.958E+12    2.219E+15     1.554E+07
  1692.00    1.228E+15    1.919E+14    2.983E+12    2.234E+15     1.592E+07
  1690.00    1.248E+15    1.951E+14    3.032E+12    2.266E+15     1.629E+07
  1688.00    1.258E+15    1.967E+14    3.057E+12    2.282E+15     1.648E+07
  1686.00    1.279E+15    1.999E+14    3.107E+12    2.314E+15     1.669E+07
  1684.00    1.290E+15    2.016E+14    3.133E+12    2.330E+15     1.689E+07
  1682.00    1.311E+15    2.049E+14    3.185E+12    2.362E+15     1.708E+07
  1680.00    1.322E+15    2.066E+14    3.211E+12    2.379E+15     1.728E+07
  1678.00    1.343E+15    2.100E+14    3.263E+12    2.412E+15     1.713E+07
  1676.00    1.354E+15    2.117E+14    3.290E+12    2.429E+15     1.713E+07
  1674.00    1.377E+15    2.152E+14    3.344E+12    2.463E+15     1.715E+07
  1672.00    1.388E+15    2.169E+14    3.372E+12    2.481E+15     1.700E+07
  1670.00    1.411E+15    2.205E+14    3.427E+12    2.515E+15     1.668E+07
  1668.00    1.422E+15    2.223E+14    3.455E+12    2.533E+15     1.657E+07
  1666.00    1.446E+15    2.259E+14    3.512E+12    2.568E+15     1.644E+07
  1664.00    1.457E+15    2.278E+14    3.541E+12    2.586E+15     1.604E+07
  1662.00    1.481E+15    2.315E+14    3.599E+12    2.623E+15     1.580E+07
  1660.00    1.493E+15    2.334E+14    3.628E+12    2.641E+15     1.546E+07
  1658.00    1.518E+15    2.373E+14    3.688E+12    2.678E+15     1.538E+07
  1656.00    1.530E+15    2.392E+14    3.718E+12    2.697E+15     1.509E+07
