 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2846.00    7.173E+11    1.121E+11    1.743E+09    6.595E+12     1.583E+07
  2844.00    7.269E+11    1.136E+11    1.766E+09    6.672E+12     1.621E+07
  2842.00    7.462E+11    1.166E+11    1.813E+09    6.826E+12     1.641E+07
  2840.00    7.560E+11    1.182E+11    1.837E+09    6.903E+12     1.680E+07
  2838.00    7.758E+11    1.213E+11    1.885E+09    7.060E+12     1.720E+07
  2836.00    7.858E+11    1.228E+11    1.909E+09    7.139E+12     1.740E+07
  2834.00    8.060E+11    1.260E+11    1.958E+09    7.297E+12     1.760E+07
  2832.00    8.163E+11    1.276E+11    1.983E+09    7.377E+12     1.760E+07
  2830.00    8.370E+11    1.308E+11    2.033E+09    7.538E+12     1.800E+07
  2828.00    8.475E+11    1.325E+11    2.059E+09    7.619E+12     1.779E+07
  2826.00    8.687E+11    1.358E+11    2.110E+09    7.783E+12     1.779E+07
  2824.00    8.794E+11    1.375E+11    2.136E+09    7.865E+12     1.779E+07
  2822.00    9.011E+11    1.408E+11    2.189E+09    8.031E+12     1.779E+07
  2820.00    9.120E+11    1.426E+11    2.216E+09    8.114E+12     1.742E+07
  2818.00    9.342E+11    1.460E+11    2.269E+09    8.282E+12     1.725E+07
  2816.00    9.454E+11    1.478E+11    2.297E+09    8.367E+12     1.709E+07
  2814.00    9.681E+11    1.513E+11    2.352E+09    8.537E+12     1.662E+07
  2812.00    9.796E+11    1.531E+11    2.380E+09    8.624E+12     1.649E+07
  2810.00    1.003E+12    1.567E+11    2.436E+09    8.797E+12     1.607E+07
  2808.00    1.015E+12    1.586E+11    2.465E+09    8.884E+12     1.598E+07
  2806.00    1.038E+12    1.623E+11    2.523E+09    9.061E+12     1.575E+07
  2804.00    1.050E+12    1.642E+11    2.552E+09    9.150E+12     1.554E+07
  2802.00    1.075E+12    1.680E+11    2.611E+09    9.329E+12     1.574E+07
  2800.00    1.087E+12    1.699E+11    2.641E+09    9.420E+12     1.553E+07
  2798.00    1.112E+12    1.739E+11    2.702E+09    9.603E+12     1.573E+07
  2796.00    1.125E+12    1.758E+11    2.733E+09    9.695E+12     1.580E+07
  2794.00    1.151E+12    1.799E+11    2.796E+09    9.881E+12     1.600E+07
  2792.00    1.164E+12    1.819E+11    2.827E+09    9.975E+12     1.634E+07
  2790.00    1.190E+12    1.860E+11    2.891E+09    1.016E+13     1.654E+07
  2788.00    1.203E+12    1.881E+11    2.924E+09    1.026E+13     1.646E+07
  2786.00    1.230E+12    1.923E+11    2.989E+09    1.045E+13     1.680E+07
  2784.00    1.244E+12    1.945E+11    3.022E+09    1.055E+13     1.855E+07
  2782.00    1.272E+12    1.988E+11    3.089E+09    1.074E+13     1.718E+07
  2780.00    1.286E+12    2.009E+11    3.123E+09    1.084E+13     1.738E+07
  2778.00    1.314E+12    2.054E+11    3.192E+09    1.104E+13     1.758E+07
  2776.00    1.328E+12    2.076E+11    3.227E+09    1.114E+13     1.778E+07
  2774.00    1.357E+12    2.121E+11    3.297E+09    1.134E+13     1.660E+07
  2772.00    1.372E+12    2.144E+11    3.332E+09    1.144E+13     1.820E+07
  2770.00    1.401E+12    2.190E+11    3.404E+09    1.164E+13     1.698E+07
  2768.00    1.416E+12    2.213E+11    3.440E+09    1.175E+13     1.718E+07
  2766.00    1.446E+12    2.261E+11    3.514E+09    1.195E+13     1.738E+07
  2764.00    1.462E+12    2.285E+11    3.551E+09    1.206E+13     1.758E+07
  2762.00    1.493E+12    2.333E+11    3.626E+09    1.226E+13     1.651E+07
  2760.00    1.508E+12    2.358E+11    3.664E+09    1.237E+13     1.671E+07
  2758.00    1.540E+12    2.407E+11    3.741E+09    1.258E+13     1.691E+07
  2756.00    1.556E+12    2.432E+11    3.780E+09    1.269E+13     1.597E+07
  2754.00    1.588E+12    2.483E+11    3.859E+09    1.291E+13     1.617E+07
  2752.00    1.605E+12    2.509E+11    3.899E+09    1.302E+13     1.637E+07
  2750.00    1.638E+12    2.561E+11    3.980E+09    1.324E+13     1.657E+07
  2748.00    1.655E+12    2.587E+11    4.021E+09    1.335E+13     1.572E+07
  2746.00    1.689E+12    2.640E+11    4.104E+09    1.357E+13     1.699E+07
  2744.00    1.706E+12    2.667E+11    4.146E+09    1.369E+13     1.611E+07
  2742.00    1.741E+12    2.722E+11    4.230E+09    1.392E+13     1.740E+07
  2740.00    1.759E+12    2.749E+11    4.273E+09    1.403E+13     1.760E+07
  2738.00    1.795E+12    2.805E+11    4.360E+09    1.426E+13     1.669E+07
  2736.00    1.813E+12    2.834E+11    4.404E+09    1.438E+13     1.801E+07
  2734.00    1.849E+12    2.891E+11    4.493E+09    1.462E+13     1.707E+07
  2732.00    1.868E+12    2.920E+11    4.538E+09    1.473E+13     1.728E+07
  2730.00    1.905E+12    2.978E+11    4.629E+09    1.497E+13     1.864E+07
  2728.00    1.924E+12    3.008E+11    4.675E+09    1.509E+13     1.662E+07
  2726.00    1.963E+12    3.067E+11    4.768E+09    1.534E+13     1.787E+07
  2724.00    1.982E+12    3.098E+11    4.815E+09    1.546E+13     1.807E+07
  2722.00    2.021E+12    3.159E+11    4.910E+09    1.570E+13     1.720E+07
  2720.00    2.041E+12    3.190E+11    4.958E+09    1.583E+13     1.643E+07
